Seconds,Nanoseconds,Temp_C,Power_W,Throttled_Hex,RSS_KB,CPU_MHz,Reconnect_Count
1783805725,491842239,38.4,2.06,0x0,9008,1500,0
1783805730,532291251,36.7,2.03,0x0,9008,1500,0
1783805735,572722744,37.3,2.05,0x0,9008,1500,0
1783805740,613303181,37.3,2.09,0x0,9008,1500,0
1783805745,756203679,36.7,2.04,0x0,9008,1500,0
1783805750,796615800,38.9,2.05,0x0,9008,1500,0
1783805755,937137706,37.8,2.04,0x0,9008,1500,0
1783805760,977735140,38.9,2.05,0x0,9008,1500,0
1783805766,18234314,37.3,2.04,0x0,9008,1500,0
1783805771,58694802,37.8,2.09,0x0,9008,1500,0
1783805776,99230012,37.3,2.05,0x0,9008,1500,0
1783805781,139884517,37.3,2.05,0x0,9008,1500,0
1783805786,180463391,37.3,2.04,0x0,9008,1500,0
1783805791,220866618,38.9,2.08,0x0,9008,1500,0
1783805796,261380843,37.8,2.05,0x0,9008,1500,0
1783805801,301725938,37.3,2.02,0x0,9008,1500,0
1783805806,342094366,37.3,2.04,0x0,9008,1500,0
1783805811,382452905,37.8,2.03,0x0,9008,1500,0
1783805816,422983924,37.8,2.07,0x0,9008,1500,0
1783805821,463426887,37.8,2.06,0x0,9008,1500,0
1783805826,504070794,37.8,2.07,0x0,9008,1500,0
1783805831,544687570,37.3,2.09,0x0,9008,1500,0
1783805836,585219494,37.8,2.07,0x0,9008,1500,0
1783805841,625804103,38.9,2.08,0x0,9008,1500,0
1783805846,666276729,37.8,2.05,0x0,9008,1500,0
1783805851,706731578,38.9,2.09,0x0,9008,1500,0
1783805856,747182741,37.8,2.07,0x0,9008,1500,0
1783805861,787453570,35.6,2.02,0x0,9008,1500,0
1783805866,827890379,38.4,2.74,0x0,9008,1500,0
1783805871,868437040,36.7,2.04,0x0,9008,1500,0
1783805876,908943849,38.4,2.08,0x0,9008,1500,0
1783805881,949371805,37.8,2.05,0x0,9008,1500,0
1783805886,989736298,37.8,2.07,0x0,9008,1500,0
1783805892,30107197,37.3,2.06,0x0,9008,1500,0
1783805897,70555300,38.4,2.08,0x0,9008,1500,0
1783805902,111113920,37.8,2.06,0x0,9008,1500,0
1783805907,151648207,37.8,2.23,0x0,9008,1500,0
1783805912,191998067,37.3,2.08,0x0,9008,1500,0
1783805917,232423538,37.3,2.06,0x0,9008,1500,0
1783805922,273165415,38.4,2.97,0x0,9008,1500,0
1783805927,313597478,38.4,2.12,0x0,9008,1500,0
1783805932,354106262,37.8,2.10,0x0,9008,1500,0
1783805937,394486027,36.7,2.08,0x0,9008,1500,0
1783805942,434954717,36.7,2.09,0x0,9008,1500,0
1783805947,475344203,37.8,2.08,0x0,9008,1500,0
1783805952,515763745,37.3,2.09,0x0,9008,1500,0
1783805957,556128526,38.4,2.09,0x0,9008,1500,0
1783805962,596535363,37.8,2.05,0x0,9008,1500,0
1783805967,637059403,37.8,2.10,0x0,9008,1500,0
1783805972,677407109,36.7,2.06,0x0,9008,1500,0
